ID;time;volume;type;MIT_conc_nom;CMIT_conc_nom;CMITMIT_conc_nom;MIT_conc_theo;CMIT_conc_theo;SI_conc_theo;replicate;MIT;CMIT;SI
TA_CM_0-18_24_R10;1;NA;acute;0.045;0.135;0.18;NA;NA;0.2;10;629.039;2114.498;2586.074
TA_CM_0-15_0_R10;0;NA;acute;0.0375;0.1125;0.15;NA;NA;0.2;10;536.127;1879.939;2466.996
TA_CM_0-15_24_R10;1;NA;acute;0.0375;0.1125;0.15;NA;NA;0.2;10;569.395;1829.021;2579.074
TA_CM_0-12_0_R10;0;NA;acute;0.03;0.09;0.12;NA;NA;0.2;10;467.718;1528.097;2615.856
TA_CM_0-12_24_R10;1;NA;acute;0.03;0.09;0.12;NA;NA;0.2;10;454.352;1492.296;2643.51
TA_CM_0-06_0_R10;0;NA;acute;0.015;0.045;0.06;NA;NA;0.2;10;233.039;862.803;2683.71
TA_CM_0-06_24_R10;1;NA;acute;0.015;0.045;0.06;NA;NA;0.2;10;214.707;815.534;2707.6
TA_M_5-0_0_R10;0;NA;acute;5;0;0;NA;0;1.5;10;13900.71;0,00;5625.876
TA_M_5-0_24_R10;1;NA;acute;5;0;0;NA;0;1.5;10;13582.5;0,00;5600.276
TA_M_3-75_0_R10;0;NA;acute;3.75;0;0;NA;0;1.5;10;11318.699;0,00;6231.925
TA_M_3-75_24_R10;1;NA;acute;3.75;0;0;NA;0;1.5;10;11308.747;0,00;5830.233
TA_M_3-25_0_R10;0;NA;acute;3.25;0;0;NA;0;1.5;10;10379.901;0,00;6460.564
TA_M_3-25_24_R10;1;NA;acute;3.25;0;0;NA;0;1.5;10;10518.98;0,00;6442.558
TA_M_3-0_0_R10;0;NA;acute;3.0;0;0;NA;0;1.5;10;9711.172;0,00;6632.225
TA_M_3-0_24_R10;1;NA;acute;3.0;0;0;NA;0;1.5;10;10022.343;0,00;6631.497
TA_M_2-75_0_R10;0;NA;acute;2.75;0;0;NA;0;1.5;10;9195.253;0,00;6857.239
TA_M_2-75_24_R10;1;NA;acute;2.75;0;0;NA;0;1.5;10;9346.509;0,00;6828.508
TA_M_2-25_0_R10;0;NA;acute;2.25;0;0;NA;0;1.5;10;8141.543;0,00;6947.665
TA_M_2-25_24_R10;1;NA;acute;2.25;0;0;NA;0;1.5;10;8113.855;0,00;7308.955
TA_M_2-0_0_R10;0;NA;acute;2.0;0;0;NA;0;1.5;10;7515.745;0,00;7233.426
TA_M_2-0_24_R10;1;NA;acute;2.0;0;0;NA;0;1.5;10;7494.951;0,00;7381.87
TA_M_1-75_0_R10;0;NA;acute;1.75;0;0;NA;0;1.5;10;6911.522;0,00;7501.407
